Date,Country,Area,Location,Sex,Fatal
1996-12-10,SOUTH AFRICA,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",M,False
1996-08-29,USA,Hawaii,"Paukukalo, Maui",M,False
1996-07-21,USA,Massachusetts,"Truro (Cape Cod), Barnstable County",M,False
1996-07-04,USA,Florida,"Public Beach, Siesta Key, Sarasota County",F,False
1996-04-07,BRAZIL,Pernambuco,"Boa Viagem, Recife",M,True
1995-11-11,NEW ZEALAND,"Chatham Islands, east of New  Zealand",,M,False
1984-11-08,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,M,False
1995-06-30,USA,California,"Bluefish Cove, Pt. Lobos State Park, Monterey County",M,False
1995-06-14,USA,Hawaii,"Opposite Grand Wailea Resort, Wailea, Maui",M,False
1995-04-09,JAPAN,Aichi Prefecture,Atsumi Peninsula,M,True
1995-01-02,BRAZIL,Pernambuco,Piedade,M,False
1993-09-03,SPAIN,Costa Blanca,"Playa de las Arenas, Valencia",M,False
1993-08-12,USA,California,"Abalone Point, Westport Union Landing, Mendocino County",M,False
1993-08-01,NEW CALEDONIA,South Province,Ile Moro,M,True
1993-06-05,AUSTRALIA,Tasmania,Tenth Island (King Island),F,True
1993-06-01,HONG KONG,New Territories,Sheung Sz Wan,M,True
1992-03-08,USA,Oregon,"Winchester Bay, Douglas County",M,False
1990-11-28,AUSTRALIA,Queensland,Nerang River,M,False
1990-02-17,USA,Hawaii,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",M,True
1989-08-13,AUSTRALIA,New South Wales,Lennox Head,M,False
1989-02-15,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,M,False
1988-06-01,USA,Florida,"Daytona Beach, Volusia County",M,False
1987-01-01,MONTENEGRO,Adriatic Sea,"Mogren Beach, Budva",M,
1985-08-20,USA,Florida,"New Smyrna Beach, Volusia County",M,
1984-11-11,USA,Florida,"Jupiter Island Beach, Martin County",M,False
1984-06-03,VANUATU,Malampa Province,"Atchin Island, off Malakula",M,True
1984-01-05,SOUTH AFRICA,Eastern Cape Province,Port Alfred,M,False
1983-01-01,USA,North & South Carolina,,M,False
1982-09-30,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",M,False
1982-07-19,USA,Florida,"Stuart Beach, Martin County",M,False
1981-10-17,USA,Florida,"Palm Beach, Palm Beach County",M,
1981-05-10,SOUTH AFRICA,Eastern Cape Province,King’s Beach,M,False
1980-08-03,USA,Louisiana,"Grand Isle, Jefferson Parish",M,False
1980-07-26,SPAIN,Canary Islands,"San Juan de la Rambla, Tenerife",M,False
1978-09-03,USA,California,Santa Barbara,M,False
1977-12-19,USA,Florida,"Hobe Sound, Palm Beach County",M,False
1976-06-23,USA,Florida,"St. Andrews State Park, Bay County",M,False
1975-06-23,USA,South Carolina,"North Myrtle Beach, Horry County",F,False
1975-03-16,USA,Florida,"Clearwater Beach, Pinellas County",M,False
1974-08-23,HONG KONG,Mirs Bay,,M,False
1973-08-25,AUSTRALIA,Queensland,"Point Lookout, Stradbroke Island",M,False
1970-09-01,USA,South Carolina,,M,False
1970-04-04,GRENADA,St. Andrew Parish,Grenville,M,True
1968-11-02,AUSTRALIA,Western Australia,,M,False
1968-02-04,AUSTRALIA,South Australia,Cape Jervis,M,False
1967-12-18,FIJI,,,M,False
1967-08-01,BAHAMAS,Out Islands,Andros Island,M,False
1966-08-14,TAIWAN,,Ye Leow,M,False
1966-06-02,FRENCH POLYNESIA,Society Islands,Tahiti,M,False
1966-05-20,AUSTRALIA,New South Wales,Jervis Bay,M,True
1965-11-03,AUSTRALIA,Queensland,Oak Beach,M,False
1965-01-23,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",M,False
1964-05-30,PANAMA,Caribbean Coast,,M,False
1964-02-14,FIJI,Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",M,True
1963-12-29,SOUTH AFRICA,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shaka’s Rock",F,False
1963-07-28,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",M,False
1963-04-22,AUSTRALIA,New South Wales,Clarence Head,M,False
1962-09-13,SOUTH ATLANTIC OCEAN,Off coast of West Africa,Off the passenger liner Stirling Castle,M,True
1962-08-01,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Pekinberui Village, Tabar Island",M,True
1962-01-26,MOZAMBIQUE,Gaza,Praia Sepulveda,M,
1962-01-18,SOUTH AFRICA,KwaZulu-Natal,Margate,M,
1961-12-28,AUSTRALIA,Queensland,"Lambert’s Beach, Mackay",M,False
1961-12-18,MOZAMBIQUE,Gaza,Praia Sepulveda,M,False
1961-02-12,SOUTH AFRICA,Western Cape Province,Sea Point,M,False
1960-12-27,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",F,False
1960-08-22,PAPUA NEW GUINEA,Milne Bay Province,,M,False
1960-08-10,USA,Florida,Key Largo Sound,M,False
1960-04-30,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,M,False
1958-01-27,AUSTRALIA,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,M,False
1957-10-23,SOLOMON ISLANDS,Honiara,Honiara,F,True
1956-06-28,AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG)",M,False
1954-08-12,CUBA,Guantanamo Province,Boqueron,M,False
1952-12-07,USA,California,"Pacific Grove, Monterey Bay, Monterey County",M,True
1952-08-06,SOUTH AFRICA,Eastern Cape Province,Nelson’s Rock,M,
1952-03-30,NETHERLANDS ANTILLES,Curacao,,M,False
1948-11-18,AUSTRALIA,Torres Strait,"Saibai Island, 80 miles north of Cape York",M,False
1947-07-27,USA,California,"Santa Monica, Los Angeles County",M,False
1946-11-20,AUSTRALIA,Torres Strait,40 miles off Thursday Island,M,True
1946-02-16,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",M,False
1944-01-01,ITALY,Adriatic Sea,,M,True
1942-11-25,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,M,False
1941-11-19,AUSTRALIA,Western Australia,Shark Bay,M,False
1940-06-30,USA,North Carolina,"Holden Beach, Brunswick County",M,False
1938-03-08,AUSTRALIA,Northern Territory,Liverpool River,M,False
1937-11-06,SOLOMON ISLANDS,,,M,True
1935-03-11,AUSTRALIA,New South Wales,Newcastle,M,False
1935-02-14,AUSTRALIA,New South Wales,Austinmer,M,False
1933-06-21,USA,South Carolina,North end of Morris Island at mouth of Charleston Harbor,M,False
1933-05-23,AUSTRALIA,Queensland,Off Stradbroke Island,M,False
1932-08-10,USA,New Jersey,"Offshore, between Mantoloking & Point Pleasant, Ocean County",M,False
1932-01-06,MEXICO,Baja California,Descano Point,M,True
1930-09-26,HONDURAS,Black River,,M,True
1930-08-31,AUSTRALIA,Western Australia,Geraldton,M,False
1930-05-11,TURKEY,,Yeşilköy,M,False
1929-10-20,AUSTRALIA,Torres Strait,Near Badu Island,M,False
1928-12-21,AUSTRALIA,,,M,False
1927-03-11,AUSTRALIA,New South Wales,Mereweather Beach,M,False
1927-02-14,NICARAGUA,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",M,False
