Date,Country,Area,Location,Sex,Fatal
1906-10-10,USA,Hawaii,,M,False
1906-02-14,NEW ZEALAND,North Island,Mototapu Island,M,
1901-06-24,PHILIPPINES,Western Viscayas,"Island of Panay, Iliolo",M,False
1900-10-27,SOUTH AFRICA,Western Cape Province,"Woodstock Beach, Cape Town",M,
1900-09-13,USA,Rhode Island,Coddington Cove,M,
1900-09-05,USA,Hawaii,"Waikiki Beach, Oahu",M,False
2023-06-07,BAHAMAS,Freeport,Shark Junction,F,
2023-04-29,AUSTRALIA,Western Australia,"Kurrajong Campground, Exnouth",M,False
2023-04-23,USA,Florida,"Anna Maria Island, Manatee County",M,False
2023-03-19,USA,Hawaii,Anaehoomalu Bay,M,False
2022-12-11,AUSTRALIA,New South ales,Killick Creek near Crescent Head,M,False
2022-06-29,USA,Florida,"Summerland Key, Monroe County",M,False
2022-06-01,AUSTRALIA,Western Australia,Oyster Stacks near Exmouth12h15,F,False
2022-04-11,USA,Florida,"Higkand Beach, Palm Beach County",M,False
2022-02-17,AUSTRALIA,Queensland,Redcliffe,M,False
2021-08-21,USA,Florida,"Walton Beach Psrk, St. Lucie County",M,False
2021-04-29,USA,Florida,"Vero Beach, Indian River County",M,False
2021-02-20,AUSTRALIA,Queensland,Waterford West,M,False
2019-04-12,USA,Florida,"Crescent Beach, St Johns County",F,False
2018-11-09,BAHAMAS,Exumas,Compass Cay,M,False
2018-09-15,USA,Massachusetts,"Newcomb Hollow Beach, Wellfleet, Barnstable County",M,True
2018-04-05,BAHAMAS,,Bimini,M,False
2018-02-18,AUSTRALIA,Victoria,Westernport Bay,M,False
2017-07-14,AUSTRALIA,Western Australia,Floreat Beach,M,False
2017-06-10,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",F,False
2017-04-17,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,F,True
2017-03-27,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2016-09-18,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2016-08-29,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2016-01-29,SOUTH AFRICA,KwaZulu-Natal,,M,False
2015-11-16,USA,Florida,"Playalinda Beach, Brevard County",M,False
2015-10-21,USA,Florida,"Playalinda Beach, Brevard County",M,False
2015-09-20,USA,Hawaii,"Upolu Point, North Kohala, Big Island",M,False
2015-06-30,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",M,False
2015-03-26,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,M,False
2015-01-24,AUSTRALIA,New South Wales,Flat Rock,M,False
2014-11-10,AUSTRALIA,New South Wales,Moonee Beach,M,False
2014-10-07,USA,Florida,"Cherie Down Park, Brevard County",F,False
2014-03-12,AUSTRALIA,New South Wales,Lighthouse Beach,M,False
2013-10-08,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",M,False
2013-09-29,USA,Florida,"Melbourne Beach, Brevard County",M,False
2012-10-10,USA,California,"Davenport Landing, Santa Cruz County",M,False
2012-09-24,USA,Florida,"Spanish House Beach, Brevard County",M,False
2012-09-04,USA,Florida,"Melbourne Beach, Brevard County",M,False
2012-07-30,USA,Hawaii,"Maha‘ulepu Beach, Kauai",M,False
2012-06-26,USA,Florida,"Juno Beach, Palm Beach County",M,False
2012-05-12,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",M,False
2012-03-31,AUSTRALIA,Western Australia,Stratham Beach,M,True
2012-03-24,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2011-09-30,USA,Puerto Rico,Hatillo Beach,M,
2011-05-07,UNITED ARAB EMIRATES,Umm al Qaywayan Province,Khor Fakkan,M,
2011-02-23,NEW CALEDONIA,Loyalty Islands,"Bay of Bweedro, Ouvéa",M,False
2010-08-02,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",M,False
2010-07-17,USA,Florida,New Smyrna Beach,M,False
2009-10-02,UNITED KINGDOM,Devon,Mewstone Rock,M,False
2009-09-15,SOMALIA,,300 miles off the coast,M,False
2009-08-30,USA,California,"Huntington Beach, Orange County",M,False
2009-05-25,USA,Florida,"Clearwater Beach, Pinellas County",M,False
2009-04-06,USA,California,San Diego County,M,False
2009-02-12,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",M,False
2009-02-07,AUSTRALIA,New South Wales,Sandon,M,False
2008-12-14,NEW ZEALAND,North Island,Maraetai,M,False
2008-05-23,MEXICO,Guerro,Pantla Beach,M,True
2008-01-29,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",M,False
2007-09-27,USA,California,"Moonstone Beach, Humboldt County",F,False
2007-07-19,USA,Hawaii,"Bellows Beach near Wailea Point, O’ahu",M,False
2007-04-01,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2006-10-31,USA,Oregon,"Siletz River mouth, Lincoln County",M,False
2006-07-12,USA,South Carolina,"Kiawah Island, Charleston County",F,False
2006-01-01,SOUTH AFRICA,Western Cape Province,Soetwater,M,False
2005-05-15,AUSTRALIA,Queensland,50 km east of Townsville,M,False
2005-02-04,BRAZIL,Bahia,Ilhéus,M,False
2004-05-28,USA,California,"Salmon Creek, Sonoma County",M,False
2004-03-27,USA,Florida,"Sanibel Island, Lee County",M,False
2003-08-19,USA,California,"Avila Beach, San Luis Obispo County",F,True
2002-07-20,USA,North Carolina,"Emerald Isle, Carteret County",F,False
2001-08-22,USA,Florida,"Daytona, Volusia County",M,False
2001-08-05,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",F,False
2000-09-19,AUSTRALIA,New South Wales,Wollongong,M,False
2000-09-10,SOUTH AFRICA,Western Cape Province,Dyer Island,M,False
2000-03-30,AUSTRALIA,Queensland,"Main Beach, Gold Coast",M,False
1999-10-01,USA,Hawaii,Old Kona Airport State Park,M,False
1999-03-18,BRAZIL,Rio Grande de Norte,Atol das Rochas,M,False
1999-01-13,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,M,False
1998-12-20,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",M,False
1998-07-06,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,M,False
1997-11-05,USA,Florida,,M,False
1997-08-11,EGYPT,Red Sea,Safaga,M,False
1997-07-17,BRAZIL,Pernambuco,"Boa Viagem, Recife",M,False
1996-01-22,AUSTRALIA,Queensland,"Brown's Inlet, Broadwater",F,False
1995-10-01,USA,Florida,"Ormond Beach, Volusia County",M,False
1995-08-22,USA,North Carolina,"Wrightsville Beach, New Hanover County",M,False
1995-07-28,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1995-04-09,AUSTRALIA,New South Wales,"Honeysuckle Point, Eden",M,False
1994-11-13,USA,Hawaii,"Off the Hanalei River, Kaua'i",F,False
1994-05-15,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1994-02-12,SOUTH AFRICA,Eastern Cape Province,Beachview Holiday Resort,M,False
1993-10-10,USA,California,"Goat Rock, Bodega Bay, Sonoma County?",F,False
1993-08-21,BAHAMAS,Walkers Cay,"Matinella Reef, 15 to 20 miles west of Walkers Cay",M,False
1993-03-12,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",M,False
1989-10-11,USA,Texas,Surfside Beach,M,False
1989-08-22,USA,Florida,"St Augustine, St Johns County",M,False
1989-04-12,USA,Washington,"Pacific Beach, Grays Harbor County",M,False
1988-10-11,USA,Florida,"Fort Pierce, St. Lucie County",M,False
1987-07-21,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",M,False
1987-07-12,USA,Texas,"Mustang Island, near Port Aransas",F,False
1986-08-03,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",F,False
1985-09-08,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,M,
1984-07-01,SOUTH AFRICA,KwaZulu-Natal,Sodwana,M,False
1984-03-10,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,M,False
1983-10-17,USA,Florida,"Stuart Beach, Martin County",M,False
1983-06-22,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",M,True
1983-04-19,USA,Florida,,M,
1983-01-15,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,M,
1982-07-01,USA,Florida,"Daytona Beach, Volusia County",F,False
1982-06-26,USA,South Carolina,"Isle of Palms, Charleston County",M,False
1981-05-19,USA,Florida,"Sands Cut, Elliot Key",M,False
1980-11-18,AUSTRALIA,Western Australia,Lancelin,M,False
1978-07-27,USA,South Carolina,,M,False
1974-07-02,USA,Florida,Gulf of Mexico,M,True
1972-03-21,PACIFIC OCEAN,,,M,False
1969-05-22,DOMINICAN REPUBLIC,,,M,
1969-01-01,AUSTRALIA,Victoria,Port MacDonnel,M,False
1968-08-13,FRENCH POLYNESIA,Society Islands,Tahiti,M,False
1968-03-10,USA,Florida,"Jensen Beach, Martin County",M,False
1966-10-30,PAPUA NEW GUINEA,New Ireland Province,"Lamassa Island, 16 miles from Lambom Island",F,True
1966-08-27,SOUTH AFRICA,KwaZulu-Natal,Durban,M,
1965-06-01,PAPUA NEW GUINEA,Near Bougainville (North Solomons),Huhunoti Island,M,False
1965-04-29,USA,Florida,"Hobe Sound, Martin County",M,False
1965-01-01,USA,California,"Dana Point, San Clemente, Orange County",M,False
1964-08-23,MEXICO,Guerrero,Acapulco,M,False
1964-04-07,PAPUA NEW GUINEA,Madang Province,Inshore side of reef near Madang,M,True
1964-01-11,USA,California,Southeast Farallon Island,M,False
1964-01-04,FIJI,"Lomaloma, Lau",Tuvuca Isalnd,F,False
1963-12-26,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,M,False
1962-01-15,NEW ZEALAND,North Island,"Slipper Island, Coromandel Peninsula",M,False
1961-07-01,ITALY,Adriatic Sea,Riccione,M,False
1961-04-14,AUSTRALIA,New South Wales,10 miles off Nambucca Heads  onboard trawler,M,False
1960-06-07,USA,California,"10 miles off Santa Barbara, Santa Barbara County",M,
1960-02-29,AUSTRALIA,Tasmania,Ralph Bay,M,False
1959-06-14,MEXICO,Guyamas,San Pedro Nolasco Island,M,True
1959-02-01,SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,M,False
1959-01-17,AUSTRALIA,Queensland,Alexandra Headland near Mooloolaba,M,False
1958-07-01,BAHAMAS,Abaco Islands,North of Walkers Cay,M,False
1958-06-17,USA,Florida,Key Biscayne,M,False
1958-06-02,SOUTH AFRICA,KwaZulu-Natal,King Reef off Park Rynie,M,
1957-02-02,AUSTRALIA,Western Australia,Cape Levêque,M,
1957-01-01,FIJI,Kadavu,Great Astrolabe Reef,M,False
1956-09-01,MAYOTTE,Mozambique Channel,,M,True
1955-02-05,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",M,True
1954-07-27,ITALY,Venice Province,Off Chioggia,M,
1954-01-01,MEXICO,Baja California,,M,True
1953-02-15,AUSTRALIA,New South Wales,Cave at Shell Harbour,M,False
1949-08-16,AUSTRALIA,Tasmania,Flinders Island,M,False
1949-01-01,PAPUA NEW GUINEA,New Ireland Province,"Enang , Kavieng",M,False
1947-11-08,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",M,True
1945-01-01,PANAMA,Colon Province,"Mouth of Rio Dudio, 50 miles west of the city of Colon",F,False
1944-02-27,SOUTH AFRICA,Western Cape Province,False Bay,M,False
1942-11-12,SOLOMON ISLANDS,,Off Savo Island,M,True
1942-01-04,AUSTRALIA,New South Wales,"Egg Rock, Middle Harbor, Sydney",F,True
1938-05-15,IRAQ,Basrah City,"Ashar Canal, where people wash clothes & kitchen pans",M,False
1937-10-24,AUSTRALIA,New South Wales,Byron Bay,M,False
1937-06-15,USA,Texas,Galveston,M,True
1936-01-01,AUSTRALIA,New South Wales,North Bondi,M,False
1934-08-27,ITALY,Sicily,Catania,M,False
1933-08-28,USA,California,"Hermosa Beach, Los Angeles County",M,False
1932-10-31,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",M,False
1930-08-06,USA,Florida,"Palm Beach Inlet, Palm Beach County",M,False
1930-01-01,SOUTH AFRICA,Eastern Cape Province,"North End Beach, Port Elizabeth",M,True
1929-01-12,AUSTRALIA,New South Wales,Bondi,M,True
1928-03-28,AUSTRALIA,Queensland,,M,False
1928-01-02,SOUTH AFRICA,Eastern Cape Province,"Salt Vlei, Port Alfred",F,False
1927-10-01,FIJI,,a river,M,False
1925-05-01,USA,Puerto Rico,"Condado Beach, San Juan",M,False
1923-12-02,AUSTRALIA,New South Wales,"Urunga, Belliger Heads",M,True
1923-01-14,CUBA,Caribbean Sea,20 miles from Havana,M,
1917-09-09,USA,Hawaii,"Nanakuli, Oah’u",M,False
1915-02-06,AUSTRALIA,Queensland,Wynnum-Manley,M,False
1912-07-23,USA,South Carolina,Sullivan's Island,M,False
1911-09-23,USA,Texas,Galveston Ship Channel,M,True
1910-12-23,AUSTRALIA,Western Australia,Fremantle,M,True
1908-09-05,USA,California,"Redondo, Los Angeles County",M,False
1908-05-10,USA,Florida,"Marathon, Monroe County",M,
1907-10-16,CHINA,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",M,False
1904-11-02,PHILIPPINES,Luzon Island,"Inner Harbor, Olongapo",M,False
1901-07-30,SOUTH AFRICA,Western Cape Province,Windmill Beach,M,True
1900-07-14,USA,Hawaii,"Makapu'u Point, O'ahu",M,
2023-07-18,COLOMBIA,San Andrés Island,Nirvana,M,False
2023-05-14,USA,South Carolina,"Isle of Palms, Charleston County",F,False
2023-03-05,BRAZIL,Pernambuco,Piedade Beach,M,False
2023-02-17,FIJI,Taveuni Island,Ura Estate,M,False
2022-12-09,USA,Samoa,Pago Pago Harbor,M,False
2022-07-01,INDONESIA,Bali,Balian Beach,F,False
2022-04-12,USA,Alabama,"Gulf Shores, Baldwin County",M,False
2021-12-04,USA,Hawaii,"Banyans, Kailua-Kona",M,False
2021-06-28,USA,Florida,"Block Houe Beach, Brevard County",F,False
2020-12-23,MALDIVES,Raa Atoll,Faadoo Island,M,False
2020-04-21,AUSTRALIA,New South Wales,Killick Creek near Crescent Head,F,False
2020-01-13,USA,North Carolina,"Rodanthe, Dare County",M,False
2019-12-24,NEW ZEALAND,Southland,Oreti Beach,F,False
2019-11-09,SOUTH AFRICA,Eastern Cape Province,East London,M,False
2019-09-24,USA,Florida,"Huguenot Park, Jacksonville, Duval County",M,False
2019-08-31,USA,Cayman Islands,Grand Cayman,M,False
2019-07-30,USA,North Carolina,"Off Cape Hatteras, Dare County",M,False
2019-04-27,AUSTRALIA,New South Wales,Tomaree,M,False
2018-07-16,USA,Texas,Galveston,F,
2018-05-13,ENGLAND,Cornwall,Off Land's End,M,False
2018-04-15,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",M,False
2018-03-09,AUSTRALIA,Victoria,Winkipop,M,False
2017-10-23,USA,Florida,"Juno Beach, Palm Beach County",M,False
2017-07-29,USA,South Carolina,"Hilton Head Island, Beaufort County",M,
2017-03-09,BAHAMAS,The Exuma Cays,Great Exuma,M,False
2016-07-26,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",M,False
2016-02-10,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,M,
2015-12-25,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",F,False
2015-12-19,ARUBA,,Boat capsized,M,True
2015-10-07,AUSTRALIA,Western Australia,Pyramids Beach,M,False
2015-09-24,USA,California,"Horseshoe Rock, Santa Barbara County",M,False
2015-09-18,USA,Florida,"Big Talbot Island, Duval County",M,False
2015-07-01,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",M,False
2015-06-14,USA,North Carolina,"Oak Island, Brunswick County",F,False
2014-08-12,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",M,False
2014-07-14,USA,Florida,Okaloosa Island,M,False
2014-05-14,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",M,False
2013-08-26,FRANCE,Bay of Biscay,,M,False
2013-08-11,USA,South Carolina,Folly Beach,M,False
2013-04-21,AUSTRALIA,New South Wales,Crowdy Head,M,False
2013-03-16,SOUTH AFRICA,Western Cape Province,De Mond,M,False
2013-01-25,AUSTRALIA,Queensland,Noosa,M,False
2011-08-28,USA,Texas,"Grass Island, Aransas County",F,False
2011-07-06,REUNION ISLAND,Saint-Gilles,Roches Noires,M,False
2011-06-19,COSTA RICA,Guanacaste,Playa Grande,M,True
2011-05-25,USA,Hawaii,"Lyman Beach, Kailua-Kona",F,False
2011-05-10,USA,Florida,Miami,M,False
2011-03-21,MEXICO,Quintana Roo,,M,False
2010-08-17,AUSTRALIA,Western Australia,Cowaramup Bay,M,True
2010-06-10,USA,Florida,Jacksonville,F,False
2009-03-20,AUSTRALIA,New South Wales,Blue Bay,M,False
2009-03-19,AUSTRALIA,New South Wales,Bateman's Bay,F,False
2009-03-01,NEW ZEALAND,North Island,Taranaki,M,False
2008-10-21,NEW CALEDONIA,,,M,False
2008-10-11,AUSTRALIA,New South Wales,Lake Macquarie,M,False
2008-09-28,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2008-08-18,USA,South Carolina,"North Myrtle Beach, Horry County",M,
2008-06-28,SOUTH AFRICA,Western Cape Province,Mossel Bay,M,False
2008-02-07,AUSTRALIA,New South Wales,Horseshoe Bay,F,False
2007-12-19,BRITISH VIRGIN ISLANDS,Green Bay,,M,
2007-10-13,AUSTRALIA,Queensland,Holmes Reef,M,False
2007-08-26,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2007-05-09,SEYCHELLES,Bird Island,,M,False
2007-04-26,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",F,False
2006-06-18,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",M,True
2006-06-17,USA,California,"Monterey, Monterey County",M,False
2005-09-27,AUSTRALIA,New South Wales,Arakoon's Little Bay,M,False
2005-09-11,USA,South Carolina,Folly Beach,M,True
2005-08-22,USA,South Carolina,"6th Avenue North, Myrtle Beach, Horry County",M,
2005-06-13,SOUTH KOREA,South Ch'ungch'ong Province,Dando/Kaeui Island,F,False
2005-04-16,AUSTRALIA,New South Wales,Bronte Beach,M,False
2004-10-10,USA,California,"Limantour Beach, Point Reyes National Seashore",M,False
2004-07-30,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",M,False
2003-10-05,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",M,False
2002-07-09,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",M,True
2002-04-30,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",M,True
2002-04-09,BAHAMAS,Abaco Islands,Walkers Cay,M,False
2002-03-15,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2002-02-11,FIJI,Cikobia Island (north of Vanua Levu),,M,True
2001-10-02,AUSTRALIA,Queensland,200 miles offshore,F,False
2001-08-25,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2001-05-23,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",M,False
2001-04-13,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2000-10-02,USA,North Carolina,"Wrightsville Beach, New Hanover County",M,False
2000-09-08,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2000-01-28,REUNION ISLAND,,Saint Pierre,M,True
1999-12-02,USA,Florida,"Boynton Beach, Palm Beach County",M,False
1998-12-24,USA,Florida,"Ormond Beach, Volusia County",M,False
1998-08-13,USA,Florida,"Ponce Inlet, Volusia County",M,False
1997-08-27,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1997-08-24,USA,California,"Clam Beach, near Eureka, Humboldt County",M,False
1995-11-25,NORTHERN ARABIAN SEA,,,M,False
1995-09-19,USA,Florida,"Matanzas Bay Inlet, St. Johns County",M,False
1995-08-10,USA,Florida,"Ponce Inlet, Volusia County",M,False
1994-01-30,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",M,False
1993-11-01,SOMALIA,Banaadir Region,Mogadishu,M,True
1992-09-11,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",F,False
1992-06-28,BRAZIL,Pernambuco,Piedade,M,True
1990-05-06,SOUTH AFRICA,Eastern Cape Province,Cintsa East,M,False
1990-04-01,USA,Hawaii,"Silver (Silva) Channels, Waialua, O'ahu",M,False
1989-11-02,AUSTRALIA,Queensland,Mermaid Waters,M,False
1988-04-14,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",M,False
1987-10-25,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,M,
1987-04-18,USA,Texas,"Mustang Island, near Port Aransas",F,False
1987-01-06,AUSTRALIA,Queensland,Lizard Island,M,False
1985-10-05,USA,Alabama,"Gulf Shores, Baldwin County",M,False
1984-02-11,AUSTRALIA,Queensland,Derwent Island,M,False
1983-01-01,VANUATU,Malampa Province,"Off the beach opposite Atchin Island, Malakula",M,True
1982-07-24,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",M,False
1981-12-13,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu",M,False
1981-07-20,USA,Florida,"St. Petersburg Beach, Pinellas County",F,False
1978-04-02,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,M,False
1977-02-04,AUSTRALIA,Victoria,Sorrento Back Beach,M,
1977-01-01,MEXICO,Guerrero,La Playa Hornos (near Acapulco),M,True
1976-09-19,AUSTRALIA,South Australia,"Point Lowly, north of Whyalla",M,False
1975-07-19,USA,California,"Point Conception, Santa Barbara County",M,False
1975-01-01,BERMUDA,,,M,False
1973-08-16,USA,Virginia,False Cape,M,False
1973-01-01,PALAU,Western Caroline Islands,,M,False
1972-02-20,AUSTRALIA,Victoria,"Wilson's Promontory, Waratah Bay",M,False
1971-08-21,AUSTRALIA,New South Wales,"Manly Marineland, Sydney",M,False
1971-01-01,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",M,False
1968-12-02,SOUTH AFRICA,KwaZulu-Natal,"Bluff, Durban",M,False
1968-07-27,USA,California,"Bodega Rock, Sonoma County",M,False
1966-12-31,AUSTRALIA,Tasmania,"Piccaninny Point, 10 miles from Bicheno",M,False
1966-06-11,USA,Florida,"Ft. Lauderdale, Broward County",M,False
1966-04-01,AUSTRALIA,New South Wales,"Botany Bay, Sydney",M,False
1965-04-04,USA,Florida,"Juno Beach, Palm Beach County",M,False
1964-01-01,NEW ZEALAND,North Island,White Island,M,
1963-11-16,ITALY,Sicily,Off Mondello Lighthouse,M,False
1960-08-04,ENGLAND,In the English Channel,Off the south Devon coast,M,False
1960-01-01,GRENADA,St. Georges,Black Point Bay,M,False
1960-01-01,PAPUA NEW GUINEA,Madang,,M,True
1959-10-02,FIJI,Lomaiviti Province,"Levuka, Ovalau Island",M,True
1959-08-14,USA,South Carolina,Charleston,M,False
1959-07-01,MEXICO,Quintana Roo,Chinchorro Banks,M,True
1958-07-27,USA,Florida,"9 miles north of Turtle Beach, Siesta Key, Sarasota County",M,False
1957-02-05,USA,Florida,"South Beach, Fort Pierce, St Lucie County",M,False
1956-12-15,GABON,Estuaire Province,Owendo,M,True
1955-08-01,NORTH ATLANTIC OCEAN,Open sea,,M,False
1952-07-05,USA,Puerto Rico,"Mona Island, 40 miles west of the mainland",M,False
1952-01-01,PAPUA NEW GUINEA,New Ireland Province,"Samo Plantation, east coast",M,True
1952-01-01,USA,Florida,Near Key West,M,True
1951-06-01,FRENCH POLYNESIA,Tuamotus,"Outer edge of Hikueru, one of the Central Tuamotu atolls",M,False
1951-02-03,AUSTRALIA,New South Wales,"Windang, near the entrance to Lake Illawarra",M,False
1950-12-31,AUSTRALIA,Queensland,Kirra,M,False
1950-07-21,JAPAN,Sago Prefecture,Ariakeno Bay,M,True
1950-01-01,USA,Florida,"Jacksonville Beach, Duval County",M,False
1949-08-10,ITALY,Calabria,Cosenza,M,False
1949-04-18,AUSTRALIA,Queensland,"Nerang River, Southpot",M,False
1949-01-23,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",M,True
1948-09-02,IRAN,Bandar Ma’shur sea inlet,,F,True
1947-07-24,AUSTRALIA,Northern Territory,Darwin Harbour,M,False
1945-01-01,IRAQ,Basrah,Shatt-al Arab River,M,False
1944-08-20,SOUTH AFRICA,KwaZulu-Natal,Margate,M,True
1943-01-01,USA,Hawaii,"Midway, Northwestern Hawaiian Islands",M,
1942-08-08,SOLOMON ISLANDS,,,M,False
1938-01-01,TRINIDAD & TOBAGO,Trinidad,"Manzanilla Bay, St. Andrew County",M,False
1938-01-01,AUSTRALIA,Torres Strait,,M,False
1935-03-02,AUSTRALIA,New South Wales,North Narrabeen Beach,M,True
1935-01-24,AUSTRALIA,New South Wales,"Off Ben Buckler, near Sydney",M,False
1934-10-23,AUSTRALIA,New South Wales,Woy Woy on the Brisbane Waters,M,False
1934-10-22,AUSTRALIA,Torres Strait,Warrior Reefs,M,True
1934-04-01,SOUTH AFRICA,KwaZulu-Natal,"Granny’s Pool, Winkelspruit",M,True
1934-01-01,PHILIPPINES,,,M,False
1932-08-30,AUSTRALIA,New South Wales,Newcastle,M,False
1932-02-16,USA,Hawaii,"1 mile off Mala Wharf, Lahaina, Maui",M,False
1931-08-06,USA,New Jersey,"Sandy Hook (ocean side), Monmouth County",M,False
1930-01-01,OKINAWA,,,M,False
1929-11-21,CUBA,Cienfuegos Province,Cienfuegos,M,False
1928-05-27,INDIA,,,M,
1928-04-06,AUSTRALIA,Queensland,Graceville,M,False
1924-02-13,AUSTRALIA,New South Wales,Bronte,F,False
1924-01-09,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",M,True
1922-10-29,AUSTRALIA,New South Wales,"Botany Bay, Sydney",M,
1922-03-13,JAMAICA,Kingston Parish,Kingston Harbor,F,True
1922-01-04,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",M,True
1921-10-12,AUSTRALIA,Queensland,Off Hinchinbrook Island,M,False
1921-09-01,ENGLAND,Dorset,Weymouth,M,False
1919-04-06,USA,Florida,"Florida Keys 25ºN,82ºW",M,True
1915-08-03,USA,Florida,"St. Augustine, St Johns County",M,False
1914-03-14,USA,Florida,"St. Augustine, St Johns County",M,
1907-02-03,AUSTRALIA,Queensland,Ross Creek,M,True
1906-11-16,JAMAICA,Westmoreland Parish,Cabaritta River mouth,M,False
1904-02-07,AUSTRALIA,Queensland,Brisbane,M,True
1903-07-01,FALKLAND ISLANDS,,,M,False
1902-04-01,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,M,
1901-06-29,YEMEN,Aden,,M,
1900-01-28,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",M,False
2023-07-22,AUSTRALIA,Western Australia,Yallingup Lagoon,M,False
2023-07-15,USA,Florida,New Smyrna Beach,M,False
2023-07-03,USA,New York,"Kismet Beach, Suffolk County",M,False
2023-05-28,FRENCH POLYNESIA,Tahiti,"Matavai Bay, Arue, Papetee",F,False
2022-12-07,USA,Texas,,M,False
2021-09-03,USA,Louisiana,off Grand Isle,M,False
2021-08-13,CANADA,Nova Scotia,Cape Breton Island,F,False
2020-07-22,USA,North Carolina,"Neuse River, Craven County",M,False
2020-01-30,BAHAMAS,Exumas,,F,False
2019-08-31,USA,Florida,"Jacksonville Beach, Duval County",M,False
2019-05-25,USA,Hawaii,"Honokowai Point, Maui",M,True
2018-05-09,REUNION ISLAND,,Saint Leu,M,True
2019-02-17,AUSTRALIA,New South Wales,Belongil Bay,M,False
2018-09-23,FIJI,Vanua Levu,Cakau Levu,M,False
2018-09-20,USA,Florida,"Jacksonville Beach, Duval County",F,False
2018-09-20,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",F,False
